imdb_title_id,genre
tt0010559,History
tt0010598,Drama
tt0010600,Fantasy
tt0010600,Comedy
tt0010635,Comedy
tt0010635,Sport
tt0010635,Drama
tt0010662,Western
tt0010662,Romance
tt0010662,Adventure
tt0010680,Romance
tt0010680,Drama
tt0010726,Adventure
tt0010726,Western
tt0010755,Romance
tt0010755,Drama
tt0010806,Comedy
tt0010806,Romance
tt0010806,Drama
tt0010821,Horror
tt0010821,Mystery
tt0010821,Fantasy
tt0010844,Romance
tt0010844,Drama
tt0010853,Western
tt0010879,Romance
tt0010879,Action
tt0010879,Comedy
tt0010890,Crime
tt0010890,Drama
tt0010925,Comedy
tt0010953,Fantasy
tt0010953,Sci-Fi
tt0010962,Drama
tt0010962,Romance
tt0010962,Biography
tt0010964,Drama
tt0010964,Crime
tt0010969,Adventure
tt0010969,Mystery
tt0010969,Fantasy
tt0011000,Drama
tt0011130,Horror
tt0011130,Sci-Fi
tt0011130,Drama
tt0011157,Comedy
tt0011157,Romance
tt0011173,Crime
tt0011173,Drama
tt0011173,Romance
tt0011193,Comedy
tt0011217,Drama
tt0011221,Horror
tt0011237,Fantasy
tt0011237,Horror
tt0011267,Drama
tt0011267,Comedy
tt0011267,Biography
tt0011294,Drama
tt0011302,Drama
tt0011317,Drama
tt0011344,Drama
tt0011358,Western
tt0011358,Drama
tt0011358,Comedy
tt0011369,Drama
tt0011370,Drama
tt0011371,Comedy
tt0011371,Romance
tt0011387,Drama
tt0011387,Action
tt0011387,Adventure
tt0011414,Comedy
tt0011414,Romance
tt0011415,Drama
tt0011439,Romance
tt0011439,Western
tt0011439,Adventure
tt0011440,Drama
tt0011474,Romance
tt0011474,Adventure
tt0011474,Comedy
tt0011513,Drama
tt0011588,Family
tt0011588,Drama
tt0011588,Comedy
tt0011607,Horror
tt0011607,Drama
tt0011607,Comedy
tt0011623,Drama
tt0011641,Comedy
tt0011647,Comedy
tt0011647,Western
tt0011652,Comedy
tt0011679,Drama
tt0011716,Drama
tt0011723,Adventure
tt0011741,Romance
tt0011741,Comedy
tt0011741,Drama
tt0011742,Drama
tt0011742,Adventure
tt0011742,Romance
tt0011753,Mystery
tt0011779,Western
tt0011779,Drama
tt0011779,Adventure
tt0011833,Drama
tt0011833,Thriller
tt0011837,Romance
tt0011841,Drama
tt0011841,Romance
tt0011865,Drama
tt0011865,Comedy
tt0011870,Romance
tt0011870,Drama
tt0011904,Mystery
tt0011904,Drama
tt0011904,Crime
tt0011908,Adventure
tt0011908,Action
tt0011909,Drama
tt0011909,Comedy
tt0011948,Comedy
tt0011960,Comedy
tt0011960,Romance
tt0011960,Drama
tt0011979,Drama
tt0011979,Romance
tt0012016,Fantasy
tt0012016,Adventure
tt0012016,Romance
tt0012027,Romance
tt0012027,Drama
tt0012068,Drama
tt0012068,Romance
tt0012122,Romance
tt0012122,Comedy
tt0012122,Drama
tt0012125,Romance
tt0012125,Comedy
tt0012134,Drama
tt0012136,Comedy
tt0012187,Drama
tt0012190,Romance
tt0012190,Drama
tt0012190,War
tt0012249,Drama
tt0012281,Drama
tt0012313,Fantasy
tt0012313,Adventure
tt0012314,Adventure
tt0012314,Fantasy
tt0012334,Drama
tt0012349,Drama
tt0012349,Comedy
tt0012349,Family
tt0012364,Drama
tt0012364,Horror
tt0012364,Fantasy
tt0012382,Comedy
tt0012397,Drama
tt0012408,Drama
tt0012465,Drama
tt0012465,Comedy
tt0012486,Drama
tt0012486,Comedy
tt0012494,Thriller
tt0012494,Drama
tt0012494,Fantasy
tt0012513,Comedy
tt0012513,Romance
tt0012513,Action
tt0012532,Romance
tt0012532,History
tt0012532,Drama
tt0012538,Romance
tt0012538,Crime
tt0012538,Thriller
tt0012631,Drama
tt0012642,Comedy
tt0012645,Drama
tt0012650,Drama
tt0012651,Drama
tt0012651,Crime
tt0012651,Horror
tt0012675,Romance
tt0012675,Adventure
tt0012675,Drama
tt0012699,Drama
tt0012745,Drama
tt0012752,Action
tt0012752,Adventure
tt0012752,Romance
tt0012755,Comedy
tt0012755,Drama
tt0012763,Drama
tt0012769,Drama
tt0012806,Drama
tt0012928,Drama
tt0012928,Romance
tt0012938,Romance
tt0012938,Drama
tt0012952,Sport
tt0012952,Drama
tt0012952,Romance
tt0012973,Drama
tt0012975,Romance
tt0013033,Drama
tt0013059,Family
tt0013059,Drama
tt0013059,Fantasy
tt0013075,Romance
tt0013075,Comedy
tt0013085,Drama
tt0013085,Romance
tt0013085,Adventure
tt0013122,Drama
tt0013134,Drama
tt0013140,Thriller
tt0013140,Drama
tt0013169,Drama
tt0013201,Family
tt0013201,Comedy
tt0013223,Horror
tt0013223,Comedy
tt0013223,Drama
tt0013332,Drama
tt0013332,Romance
tt0013367,Mystery
tt0013372,Drama
tt0013386,Drama
tt0013402,Drama
tt0013402,Romance
tt0013404,Adventure
tt0013428,History
tt0013428,Drama
tt0013442,Fantasy
tt0013442,Horror
tt0013450,Drama
tt0013469,Drama
tt0013469,Romance
tt0013496,Drama
tt0013496,Romance
tt0013515,Romance
tt0013515,Adventure
tt0013556,Adventure
tt0013556,Family
tt0013556,Romance
tt0013571,History
tt0013571,Drama
tt0013571,Biography
tt0013574,Romance
tt0013574,Comedy
tt0013579,Drama
tt0013579,Fantasy
tt0013579,Horror
tt0013590,Romance
tt0013590,Drama
tt0013592,Drama
tt0013597,Drama
tt0013597,Mystery
tt0013607,Action
tt0013607,Drama
tt0013607,Romance
tt0013619,Drama
tt0013662,Drama
tt0013662,Romance
tt0013674,Comedy
tt0013674,Adventure
tt0013674,Action
tt0013688,Fantasy
tt0013688,Family
tt0013688,Drama
tt0013704,Drama
tt0013705,Crime
tt0013705,Drama
tt0013741,Drama
tt0013741,History
tt0013750,Drama
tt0013750,Romance
tt0013802,Romance
tt0013802,Drama
tt0013830,Drama
tt0013909,Drama
tt0013933,Romance
tt0013933,Drama
tt0013951,Romance
tt0013951,Adventure
tt0013951,Western
tt0014029,Romance
tt0014029,Comedy
tt0014108,Drama
tt0014109,Romance
tt0014109,Drama
tt0014112,Adventure
tt0014112,Crime
tt0014112,Drama
tt0014142,Drama
tt0014142,Horror
tt0014142,Romance
tt0014205,Comedy
tt0014205,Romance
tt0014341,Comedy
tt0014341,Romance
tt0014341,Thriller
tt0014358,Comedy
tt0014397,Drama
tt0014416,Romance
tt0014416,Comedy
tt0014417,Drama
tt0014429,Comedy
tt0014429,Action
tt0014429,Thriller
tt0014440,Drama
tt0014440,Romance
tt0014446,Romance
tt0014446,Drama
tt0014463,Drama
tt0014497,Romance
tt0014497,Comedy
tt0014497,Drama
tt0014516,Drama
tt0014524,Drama
tt0014532,Fantasy
tt0014532,Drama
tt0014532,Biography
tt0014538,Comedy
tt0014586,Fantasy
tt0014586,Horror
tt0014604,Romance
tt0014604,Drama
tt0014605,Romance
tt0014605,Drama
tt0014606,Mystery
tt0014606,Crime
tt0014606,Drama
tt0014611,Comedy
tt0014611,Adventure
tt0014611,Family
tt0014624,Romance
tt0014624,Drama
tt0014636,Romance
tt0014636,Drama
tt0014646,Drama
tt0014646,Comedy
tt0014646,Adventure
tt0014672,War
tt0014672,Drama
tt0014672,History
tt0014702,Romance
tt0014702,History
tt0014702,Drama
tt0014721,Sci-Fi
tt0014721,Romance
tt0014721,Drama
tt0014760,Drama
tt0014770,Adventure
tt0014770,Drama
tt0014826,Drama
tt0014826,Horror
tt0014826,Romance
tt0014854,Romance
tt0014854,History
tt0014854,Drama
tt0014869,Drama
tt0014874,Drama
tt0014898,Drama
tt0014898,Romance
tt0014900,Comedy
tt0014925,Comedy
tt0014945,Comedy
tt0014945,Romance
tt0014972,Thriller
tt0014972,Drama
tt0014972,Romance
tt0014982,Comedy
tt0014982,Romance
tt0015002,Comedy
tt0015014,Drama
tt0015014,Mystery
tt0015014,Adventure
tt0015016,Romance
tt0015016,Western
tt0015016,History
tt0015018,Drama
tt0015018,Romance
tt0015022,Romance
tt0015022,Drama
tt0015022,History
tt0015036,Drama
tt0015064,Drama
tt0015116,Comedy
tt0015116,Drama
tt0015119,Comedy
tt0015136,Drama
tt0015136,Romance
tt0015145,Romance
tt0015145,Drama
tt0015163,Action
tt0015163,Comedy
tt0015163,Romance
tt0015167,Comedy
tt0015174,Drama
tt0015174,Adventure
tt0015174,Fantasy
tt0015175,Drama
tt0015175,Adventure
tt0015175,Fantasy
tt0015200,Comedy
tt0015202,Crime
tt0015202,Mystery
tt0015202,Horror
tt0015213,Romance
tt0015213,Comedy
tt0015214,Sci-Fi
tt0015224,Fantasy
tt0015224,Family
tt0015224,Adventure
tt0015268,Drama
tt0015289,History
tt0015289,Drama
tt0015310,Romance
tt0015310,Adventure
tt0015310,Drama
tt0015312,Drama
tt0015324,Romance
tt0015324,Comedy
tt0015324,Action
tt0015361,Drama
tt0015400,Fantasy
tt0015400,Family
tt0015400,Adventure
tt0015493,Drama
tt0015498,Drama
tt0015498,Romance
tt0015500,Comedy
tt0015500,Drama
tt0015518,Romance
tt0015532,Family
tt0015532,Adventure
tt0015532,Animation
tt0015624,Drama
tt0015624,War
tt0015624,Romance
tt0015634,Drama
tt0015643,Western
tt0015648,Drama
tt0015648,Thriller
tt0015648,History
tt0015684,Drama
tt0015687,Romance
tt0015687,Adventure
tt0015687,Western
tt0015693,Drama
tt0015693,Romance
tt0015758,Romance
tt0015758,Adventure
tt0015768,Drama
tt0015772,Action
tt0015772,Comedy
tt0015772,Drama
tt0015794,Fantasy
tt0015794,Drama
tt0015801,Drama
tt0015841,Family
tt0015841,Comedy
tt0015841,Romance
tt0015842,Drama
tt0015847,Drama
tt0015861,Drama
tt0015861,Romance
tt0015863,Western
tt0015863,Comedy
tt0015864,Drama
tt0015864,Comedy
tt0015864,Adventure
tt0015872,Drama
tt0015881,Western
tt0015881,Drama
tt0015881,Thriller
tt0015883,Drama
tt0015909,Comedy
tt0015935,Drama
tt0015935,History
tt0015935,Biography
tt0016004,Comedy
tt0016005,Romance
tt0016005,Drama
tt0016006,Drama
tt0016013,Action
tt0016013,Drama
tt0016013,Comedy
tt0016023,Romance
tt0016023,Drama
tt0016028,Drama
tt0016028,Comedy
tt0016029,Musical
tt0016029,Comedy
tt0016029,Family
tt0016039,Thriller
tt0016039,Fantasy
tt0016039,Adventure
tt0016104,Drama
tt0016104,Romance
tt0016123,Comedy
tt0016123,Horror
tt0016123,Mystery
tt0016142,Drama
tt0016185,Action
tt0016185,Adventure
tt0016201,Romance
tt0016201,Drama
tt0016201,Crime
tt0016205,Romance
tt0016205,Comedy
tt0016205,Crime
tt0016220,Horror
tt0016226,Romance
tt0016226,Sport
tt0016226,Comedy
tt0016230,Drama
tt0016230,Romance
tt0016232,Drama
tt0016240,Drama
tt0016241,Comedy
tt0016241,Drama
tt0016258,Drama
tt0016258,Comedy
tt0016276,Drama
tt0016276,Biography
tt0016276,Romance
tt0016288,Drama
tt0016288,Action
tt0016288,Western
tt0016294,Drama
tt0016294,Romance
tt0016294,Fantasy
tt0016308,Comedy
tt0016309,Comedy
tt0016309,Drama
tt0016310,Drama
tt0016332,Comedy
tt0016332,Romance
tt0016338,Adventure
tt0016338,Fantasy
tt0016338,Sci-Fi
tt0016377,Drama
tt0016392,Drama
tt0016394,Comedy
tt0016395,Drama
tt0016461,Western
tt0016473,Crime
tt0016473,Drama
tt0016473,Romance
tt0016480,Western
tt0016481,Drama
