imdb_title_id,country
tt0000009,USA
tt0000574,Australia
tt0001892,Germany
tt0001892,Denmark
tt0002101,USA
tt0002130,Italy
tt0002423,Germany
tt0002445,Italy
tt0002452,Romania
tt0002461,USA
tt0002461,France
tt0002646,Denmark
tt0002844,France
tt0003014,Sweden
tt0003037,France
tt0003102,Italy
tt0003131,Belgium
tt0003165,France
tt0003167,USA
tt0003419,Germany
tt0003471,USA
tt0003489,Italy
tt0003637,Italy
tt0003643,USA
tt0003657,USA
tt0003740,Italy
tt0003772,USA
tt0003883,France
tt0003930,France
tt0003973,USA
tt0004026,Germany
tt0004066,Denmark
tt0004099,USA
tt0004134,USA
tt0004150,USA
tt0004150,Canada
tt0004181,USA
tt0004457,USA
tt0004465,USA
tt0004635,USA
tt0004681,USA
tt0004707,USA
tt0004712,Hungary
tt0004743,USA
tt0004766,USA
tt0004825,USA
tt0004838,USA
tt0004872,USA
tt0004873,USA
tt0004972,USA
tt0005060,USA
tt0005078,USA
tt0005149,USA
tt0005339,USA
tt0005402,USA
tt0005529,Denmark
tt0005557,USA
tt0005719,USA
tt0005809,USA
tt0005916,Russia
tt0005951,Italy
tt0005960,USA
tt0006206,France
tt0006327,USA
tt0006333,USA
tt0006509,USA
tt0006517,USA
tt0006589,USA
tt0006617,Sweden
tt0006688,USA
tt0006731,USA
tt0006736,USA
tt0006745,USA
tt0006753,USA
tt0006780,USA
tt0006809,USA
tt0006826,USA
tt0006864,USA
tt0006886,France
tt0007047,USA
tt0007183,Russia
tt0007257,USA
tt0007260,USA
tt0007309,Germany
tt0007338,USA
tt0007340,USA
tt0007361,USA
tt0007367,USA
tt0007522,Sweden
tt0007558,USA
tt0007755,USA
tt0007801,USA
tt0007983,Germany
tt0008011,USA
tt0008100,Denmark
tt0008150,USA
tt0008188,USA
tt0008196,USA
tt0008279,France
tt0008309,USA
tt0008443,USA
tt0008489,USA
tt0008499,USA
tt0008519,USA
tt0008536,Russia
tt0008634,USA
tt0008652,USA
tt0008663,Sweden
tt0008672,Sweden
tt0008679,USA
tt0008687,USA
tt0008710,Sweden
tt0008775,USA
tt0008827,USA
tt0008843,Hungary
tt0008854,Germany
tt0008891,USA
tt0008930,USA
tt0008950,Germany
tt0009014,France
tt0009062,Germany
tt0009086,USA
tt0009150,USA
tt0009153,USA
tt0009241,USA
tt0009326,USA
tt0009356,USA
tt0009369,USA
tt0009440,USA
tt0009475,USA
tt0009559,USA
tt0009608,USA
tt0009611,USA
tt0009652,USA
tt0009682,USA
tt0009701,France
tt0009737,USA
tt0009796,USA
tt0009878,Germany
tt0009892,USA
tt0009893,Germany
tt0009894,Mexico
tt0009915,USA
tt0009937,USA
tt0009968,USA
tt0009976,USA
tt0010040,USA
tt0010060,USA
tt0010071,USA
tt0010103,USA
tt0010137,USA
tt0010162,USA
tt0010193,USA
tt0010195,USA
tt0010208,Germany
tt0010219,USA
tt0010227,USA
tt0010247,Sweden
tt0010267,USA
tt0010281,Germany
tt0010298,Sweden
tt0010307,France
tt0010323,Germany
tt0010418,USA
tt0010456,Germany
tt0010466,USA
tt0010484,USA
tt0010559,Germany
tt0010598,Denmark
tt0010600,Germany
tt0010635,USA
tt0010662,USA
tt0010726,Germany
tt0010755,Sweden
tt0010806,USA
tt0010821,Germany
tt0010844,USA
tt0010853,USA
tt0010879,USA
tt0010890,USA
tt0010925,USA
tt0010953,Germany
tt0010962,Germany
tt0010964,USA
tt0010969,Belgium
tt0010969,France
tt0011000,Denmark
tt0011130,USA
tt0011157,Sweden
tt0011173,Norway
tt0011193,USA
tt0011217,Denmark
tt0011217,Germany
tt0011221,Germany
tt0011237,Germany
tt0011267,USA
tt0011294,France
tt0011302,France
tt0011317,USA
tt0011344,USA
tt0011358,USA
tt0011370,Sweden
tt0011371,Germany
tt0011387,USA
tt0011414,USA
tt0011415,USA
tt0011439,USA
tt0011440,Norway
tt0011474,USA
tt0011513,USA
tt0011588,USA
tt0011607,Sweden
tt0011623,USA
tt0011641,Germany
tt0011647,USA
tt0011652,USA
tt0011679,USA
tt0011716,USA
tt0011723,Germany
tt0011741,USA
tt0011753,USA
tt0011779,USA
tt0011837,Germany
tt0011841,USA
tt0011865,USA
tt0011870,USA
tt0011904,USA
tt0011908,USA
tt0011909,USA
tt0011948,USA
tt0011960,Germany
tt0011979,USA
tt0012016,USA
tt0012027,USA
tt0012068,USA
tt0012122,USA
tt0012125,USA
tt0012134,France
tt0012136,USA
tt0012187,USA
tt0012190,USA
tt0012249,Germany
tt0012281,Germany
tt0012334,Sweden
tt0012349,USA
tt0012382,USA
tt0012397,USA
tt0012408,USA
tt0012465,USA
tt0012486,USA
tt0012513,USA
tt0012538,USA
tt0012631,Japan
tt0012642,USA
tt0012645,Germany
tt0012650,Germany
tt0012651,Germany
tt0012675,USA
tt0012699,USA
tt0012745,France
tt0012752,USA
tt0012755,USA
tt0012763,USA
tt0012769,USA
tt0012806,Germany
tt0012928,USA
tt0012938,USA
tt0012952,USA
tt0012973,Germany
tt0012975,USA
tt0013033,France
tt0013033,Belgium
tt0013059,Denmark
tt0013075,USA
tt0013085,USA
tt0013122,France
tt0013134,USA
tt0013140,USA
tt0013169,Germany
tt0013201,USA
tt0013223,USA
tt0013332,USA
tt0013367,USA
tt0013372,USA
tt0013386,USA
tt0013402,USA
tt0013404,USA
tt0013428,Germany
tt0013442,Germany
tt0013450,USA
tt0013469,Germany
tt0013496,Germany
tt0013515,USA
tt0013556,USA
tt0013571,USA
tt0013574,USA
tt0013579,Germany
tt0013590,USA
tt0013592,USA
tt0013597,USA
tt0013607,USA
tt0013619,Austria
tt0013619,Germany
tt0013662,USA
tt0013674,USA
tt0013688,USA
tt0013704,USA
tt0013705,UK
tt0013741,Germany
tt0013750,USA
tt0013802,USA
tt0013830,Germany
tt0013909,USA
tt0013933,France
tt0013951,USA
tt0014029,USA
tt0014108,Sweden
tt0014109,Sweden
tt0014112,USA
tt0014142,USA
tt0014205,USA
tt0014341,USA
tt0014358,USA
tt0014397,Germany
tt0014416,USA
tt0014417,France
tt0014429,USA
tt0014440,USA
tt0014463,USA
tt0014497,USA
tt0014516,Germany
tt0014524,Germany
tt0014532,USA
